#{"t_start": 1666814621.1547022, "env_id": null}
r,l,t
-9.997122,9,1664.370082
0.002904,8,1664.431018
-39.997066,12,1664.530678
-19.996872,10,1664.617464
-49.996715,13,1664.713902
-9.996937,9,1664.783193
0.003036,8,1664.846599
-49.996737,13,1664.944245
-19.996916,10,1665.023599
-19.996749,10,1665.108989
-4079.996757,416,1669.421454
-29.996948,11,1669.50536
-19.996958,10,1669.588872
-2149.996951,223,1671.193702
-39.996925,12,1671.28002
-39.996911,12,1671.370535
-9.996991,9,1671.445619
-39.997098,12,1671.530304
-9.996849,9,1671.596571
-9.997117,9,1671.664732
-29.997015,11,1671.754072
-19.997046,10,1671.834239
-29.996972,11,1671.920379
-39.996992,12,1672.009107
-29.996838,11,1672.097347
-1239.997026,132,1673.057035
-659.997274,74,1673.588717
-69.997133,15,1673.692796
-119.997036,20,1673.850523
-179.997318,26,1674.036637
-6909.997477,699,1679.148654
-6939.997585,702,1684.24217
-5589.99803,567,1688.436819
-1969.998031,205,1689.940423
-2899.997244,298,1692.158072
-4249.997777,433,1695.347042
-4089.997493,417,1698.449766
-1659.99712,175,1699.736429
-4199.997201,428,1702.789914
-2219.997234,230,1704.458698
-3159.998162,323,1706.794645
-4749.997201,484,1710.337277
-7069.997351,715,1715.548748
-699.997302,78,1716.134855
-1919.997102,201,1717.598451
-239.996995,32,1717.84911
-719.997093,81,1718.439813
-259.997069,34,1718.701676
0.002891,8,1718.765964
-2529.996949,262,1720.67385
-99.997019,18,1720.809338
-19.996937,10,1720.89006
-19.996924,10,1720.967393
-9.997043,9,1721.031601
-29.997071,11,1721.116037
-19.996938,10,1721.19894
-89.997047,17,1721.330716
-19.996973,10,1721.403731
0.003214,9,1721.474941
-99.997052,18,1721.608692
-19.997024,10,1721.688712
-19.997178,10,1721.768693
-59.997097,14,1721.8853
-19.99708,10,1721.968395
-19.996945,10,1722.053617
-9.996933,9,1722.122841
-19.996988,10,1722.201183
-69.997067,15,1722.315573
-49.996912,13,1722.417812
