#{"t_start": 1667320887.616259, "env_id": null}
r,l,t
-263.024652,35,584.06339
-173.030357,26,584.238658
-203.964088,29,584.438195
-243.630468,33,584.665819
-163.92875,25,584.838538
-202.541246,29,585.038443
-113.882276,20,585.174909
-124.789482,21,585.328652
-313.779871,40,585.606925
-203.858455,29,585.812021
-324.105197,41,586.094597
-343.01555,43,586.3953
-143.037507,23,586.551634
-333.927742,42,586.860866
-193.960822,28,587.050523
-174.109862,26,587.229042
-293.93589,38,587.505187
-343.952688,43,587.798174
-33.95312,12,587.888541
-203.958912,29,588.084279
-143.992067,23,588.238983
-53.954027,14,588.343576
-213.984398,30,588.543099
-213.864728,30,588.74195
-194.094413,28,588.936506
-212.899886,29,589.137395
-103.925571,19,589.268135
-213.931592,30,589.475144
-93.702632,16,589.584449
-182.461891,27,589.768588
-253.9888,34,590.011405
-143.967929,23,590.176152
-121.687226,21,590.319566
-413.570426,50,590.654868
-213.519149,30,590.860906
-193.565037,28,591.069865
-202.180395,29,591.263158
-223.773166,31,591.476855
-181.421134,27,591.661596
-574.083616,66,592.107283
-133.487052,22,592.259639
-1093.997956,118,593.055004
-63.479234,15,593.16256
-43.483516,13,593.267645
-173.538752,26,593.449385
-313.543136,40,593.811909
-143.488873,23,594.121301
-103.845757,19,594.379442
-313.569677,40,594.895633
-143.219545,23,595.208686
-203.497234,29,595.594812
-253.448132,34,596.0275
-113.522233,20,596.177964
-163.554012,25,596.347997
-123.54376,21,596.487255
-142.563625,23,596.652536
-143.197167,23,596.804702
-143.42935,23,596.961142
-83.897441,17,597.085946
-111.866473,20,597.228551
-73.487677,16,597.340575
-123.804403,21,597.491139
-253.514581,34,597.749494
-143.752436,23,597.918784
-53.843126,14,598.025923
-263.476616,35,598.280472
-132.933402,22,598.431829
-293.629214,38,598.691092
-93.515729,18,598.812212
-253.494624,34,599.041042
-153.519957,24,599.20776
-193.935715,28,599.406636
